,Peak CCU,DLC count,Metacritic score,User score,Positive,Negative,Achievements,Recommendations,Average playtime forever,Median playtime forever
189,0,0,0,0,1,2,0,0,0,0
190,0,0,0,0,5,13,0,0,0,0
191,0,0,0,0,185,28,38,156,359,359
192,0,0,0,0,8,0,9,0,0,0
193,0,0,0,0,14,17,0,0,242,267
194,0,0,0,0,0,0,0,0,0,0
195,1,0,0,0,7,9,0,0,0,0
196,3,1,0,0,115,73,6,122,0,0
197,0,0,0,0,0,0,24,0,0,0
198,0,0,0,0,0,0,0,0,0,0
199,0,0,0,0,7,8,0,0,0,0
200,0,2,0,0,8,0,16,0,0,0
201,1,0,0,0,71,9,21,0,0,0
202,0,0,0,0,0,1,0,0,0,0
203,0,0,0,0,20,1,0,0,0,0
204,1,0,0,63,54,29,0,205,0,0
205,3,3,69,0,646,544,26,604,283,211
206,1,1,0,0,138,22,64,0,341,341
207,0,0,0,0,0,0,27,0,0,0
208,17,9,72,0,900,126,50,735,411,411
209,0,1,0,0,41,8,11,0,0,0
210,0,0,0,0,1,0,0,0,0,0
211,0,1,0,0,61,15,6,0,284,291
212,0,0,0,0,11,1,8,0,9,9
213,0,0,0,0,1,1,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0
215,1,0,0,0,94,107,44,101,292,292
216,0,0,0,0,0,0,0,0,0,0
217,0,0,0,0,7,0,17,0,0,0
218,0,0,0,0,13,2,0,0,0,0
219,0,0,0,0,16,14,21,0,0,0
220,0,0,0,0,0,0,0,0,0,0
221,0,0,0,0,5,2,20,0,0,0
222,0,8,0,0,32,9,37,0,0,0
223,0,0,0,0,63,114,0,148,0,0
224,0,0,0,0,46,25,24,0,0,0
225,0,0,0,0,48,26,0,0,65,126
226,0,0,0,0,25,1,0,0,0,0
227,3,0,0,0,388,373,13,121,599,883
228,2,0,0,0,102,47,0,115,367,677
229,0,0,0,0,546,67,27,521,242,257
230,0,0,0,0,5,3,0,0,0,0
231,0,0,0,0,0,0,0,0,0,0
232,0,0,0,0,7,3,0,0,0,0
233,0,0,0,0,41,8,14,0,0,0
234,0,0,0,0,225,128,27,0,139,121
235,0,1,0,0,0,0,0,0,0,0
236,0,0,0,0,23,8,0,0,7,7
237,0,2,0,0,12,11,12,0,0,0
238,0,1,0,0,0,0,3,0,0,0
239,16,0,68,0,770,316,47,751,205,305
240,49,0,0,0,1802,518,294,2166,179,205
241,0,1,0,0,34,2,56,0,91,91
242,0,0,0,0,10,30,4,0,0,0
243,0,0,0,0,8,3,0,0,0,0
244,0,0,0,0,2,0,0,0,0,0
245,0,0,0,0,1,0,0,0,0,0
246,15,1,52,0,671,404,46,798,446,660
247,0,0,0,0,27,5,40,0,276,276
248,0,0,0,0,0,0,30,0,0,0
249,2,0,82,0,293,73,0,311,138,138
250,0,0,0,0,1,1,0,0,0,0
251,4,1,0,0,116,2,24,0,0,0
252,0,0,0,0,24,0,0,0,0,0
253,3,0,0,0,152,25,0,160,0,0
254,0,0,0,0,9,9,0,0,0,0
255,0,1,0,0,0,0,21,0,0,0
256,0,0,0,0,3,0,0,0,0,0
257,395,10,0,0,3942,419,83,2753,179,140
258,0,0,0,0,10,0,15,0,0,0
259,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,1,0,0,0,0,0
261,0,0,0,0,5,1,4,0,0,0
262,3,0,0,0,66,27,15,0,428,428
263,0,0,0,0,0,0,0,0,0,0
264,0,0,0,0,42,119,7,0,0,0
265,0,0,0,0,10,5,6,0,0,0
266,17,3,0,0,5491,477,31,5423,311,283
267,0,0,0,0,1,0,1,0,0,0
268,0,0,0,0,14,0,25,0,0,0
269,0,1,0,0,85,8,48,0,0,0
270,0,0,0,0,47,14,0,0,7,7
271,0,0,0,0,237,65,16,266,52,70
272,0,1,0,0,20,6,31,0,0,0
273,3,2,0,0,68,7,0,0,0,0
274,0,0,0,0,8,3,0,0,0,0
275,0,0,0,0,2,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,25,5,0,0,0,0
278,0,0,0,0,1,2,0,0,0,0
279,0,0,0,0,24,0,22,0,0,0
280,0,0,0,0,35,2,0,0,0,0
281,0,1,0,0,5,0,20,0,0,0
282,0,0,0,0,14,3,16,0,0,0
283,0,0,0,0,57,3,0,0,0,0
284,0,0,0,0,35,5,0,0,0,0
285,0,2,0,0,47,0,7,0,0,0
286,0,0,0,0,83,1,0,0,0,0
287,0,0,0,0,59,7,9,0,0,0
288,0,0,0,0,22,16,100,0,0,0
289,0,0,0,0,25,5,0,0,0,0
290,0,0,0,0,17,3,0,0,0,0
